Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-06-03 18:55:00,2024-06-03 21:15:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,115.0,0.0
2024-06-03 04:40:00,2024-06-03 06:55:00,CAI,JED,Nile Air,2 hr 15 min,116.0,0,,2024-05-27,110.0,0.0
2024-06-03 13:45:00,2024-06-03 16:00:00,CAI,JED,Nile Air,2 hr 15 min,116.0,0,,2024-05-27,110.0,0.0
2024-06-03 03:45:00,2024-06-03 06:05:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,115.0,0.0
2024-06-03 15:10:00,2024-06-03 17:30:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,115.0,0.0
2024-06-03 16:10:00,2024-06-03 18:30:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,115.0,0.0
2024-06-03 17:50:00,2024-06-03 20:10:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,115.0,0.0
2024-06-03 20:50:00,2024-06-03 23:10:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,118.0,0.0
2024-06-03 00:55:00,2024-06-03 03:15:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-06-03 12:40:00,2024-06-03 15:00:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-06-03 03:25:00,2024-06-03 05:40:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,134.0,17.0
2024-06-03 03:50:00,2024-06-03 06:05:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,114.0,0.0
2024-06-03 06:05:00,2024-06-03 08:21:00,CAI,JED,Price unavailable,2 hr 16 min,,0,,2024-05-27,114.0,0.0
2024-06-04 09:45:00,2024-06-04 12:00:00,CAI,JED,Flyadeal,2 hr 15 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-04 23:35:00,2024-06-05 01:45:00,CAI,JED,Flyadeal,2 hr 10 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-04 09:25:00,2024-06-04 11:50:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
